,date,home,away,score,play_round,home_goals,away_goals,url,home_manager,away_manager,home_sheet,away_sheet
1,07/08/2004,Bristol City,Torquay United,1:1,1,1,1,unknown,,,[],[]
2,07/08/2004,Chesterfield FC,Brentford FC,3:1,1,3,1,unknown,,,[],[]
3,07/08/2004,Doncaster Rovers,Blackpool FC,2:0,1,2,0,unknown,,,[],[]
4,07/08/2004,Hartlepool United,Bradford City,2:1,1,2,1,unknown,,,[],[]
5,07/08/2004,Hull City,AFC Bournemouth,1:0,1,1,0,unknown,,,[],[]
6,07/08/2004,Luton Town,Oldham Athletic,2:1,1,2,1,unknown,,,[],[]
7,07/08/2004,Milton Keynes Dons,Barnsley FC,1:1,1,1,1,unknown,,,[],[]
8,07/08/2004,Peterborough United,Tranmere Rovers,1:0,1,1,0,unknown,,,[],[]
9,07/08/2004,Sheffield Wednesday,Colchester United,0:3,1,0,3,unknown,,,[],[]
10,07/08/2004,Stockport County,Huddersfield Town,2:3,1,2,3,unknown,,,[],[]
11,07/08/2004,Walsall FC,Port Vale FC,3:2,1,3,2,unknown,,,[],[]
12,07/08/2004,Wrexham AFC,Swindon Town,2:1,1,2,1,unknown,,,[],[]
14,10/08/2004,Barnsley FC,Bristol City,2:1,2,2,1,unknown,,,[],[]
15,10/08/2004,Blackpool FC,Sheffield Wednesday,1:2,2,1,2,unknown,,,[],[]
16,10/08/2004,AFC Bournemouth,Walsall FC,2:2,2,2,2,unknown,,,[],[]
17,10/08/2004,Bradford City,Peterborough United,2:2,2,2,2,unknown,,,[],[]
18,10/08/2004,Brentford FC,Doncaster Rovers,4:3,2,4,3,unknown,,,[],[]
19,10/08/2004,Colchester United,Stockport County,3:2,2,3,2,unknown,,,[],[]
20,10/08/2004,Huddersfield Town,Chesterfield FC,0:0,2,0,0,unknown,,,[],[]
21,10/08/2004,Oldham Athletic,Wrexham AFC,2:3,2,2,3,unknown,,,[],[]
22,10/08/2004,Port Vale FC,Milton Keynes Dons,3:2,2,3,2,unknown,,,[],[]
23,10/08/2004,Torquay United,Hull City,0:3,2,0,3,unknown,,,[],[]
