,date,home,away,score,play_round,home_goals,away_goals,url,home_manager,away_manager,home_sheet,away_sheet
1,12/08/2000,Bristol Rovers,AFC Bournemouth,1:1,1,1,1,unknown,,,[],[]
2,12/08/2000,Cambridge United,Bury FC,0:1,1,0,1,unknown,,,[],[]
3,12/08/2000,Luton Town,Notts County,0:1,1,0,1,unknown,,,[],[]
4,12/08/2000,Millwall FC,Reading FC,2:0,1,2,0,unknown,,,[],[]
5,12/08/2000,Northampton Town,Brentford FC,1:1,1,1,1,unknown,,,[],[]
6,12/08/2000,Oldham Athletic,Port Vale FC,4:1,1,4,1,unknown,,,[],[]
7,12/08/2000,Oxford United,Peterborough United,0:1,1,0,1,unknown,,,[],[]
8,12/08/2000,Rotherham United,Walsall FC,2:3,1,2,3,unknown,,,[],[]
9,12/08/2000,Stoke City,Wycombe Wanderers,0:0,1,0,0,unknown,,,[],[]
10,12/08/2000,Swansea City,Wigan Athletic,0:0,1,0,0,unknown,,,[],[]
11,12/08/2000,Swindon Town,Colchester United,0:0,1,0,0,unknown,,,[],[]
12,12/08/2000,Wrexham AFC,Bristol City,0:2,1,0,2,unknown,,,[],[]
14,18/08/2000,Colchester United,Rotherham United,0:1,2,0,1,unknown,,,[],[]
15,19/08/2000,AFC Bournemouth,Cambridge United,1:1,2,1,1,unknown,,,[],[]
16,19/08/2000,Brentford FC,Swansea City,0:0,2,0,0,unknown,,,[],[]
17,19/08/2000,Bristol City,Stoke City,1:2,2,1,2,unknown,,,[],[]
18,19/08/2000,Bury FC,Wrexham AFC,1:4,2,1,4,unknown,,,[],[]
19,19/08/2000,Notts County,Millwall FC,3:4,2,3,4,unknown,,,[],[]
20,19/08/2000,Port Vale FC,Oxford United,3:0,2,3,0,unknown,,,[],[]
21,19/08/2000,Reading FC,Swindon Town,2:0,2,2,0,unknown,,,[],[]
22,19/08/2000,Walsall FC,Oldham Athletic,3:2,2,3,2,unknown,,,[],[]
23,19/08/2000,Wigan Athletic,Luton Town,2:1,2,2,1,unknown,,,[],[]
24,19/08/2000,Wycombe Wanderers,Northampton Town,1:0,2,1,0,unknown,,,[],[]
25,20/08/2000,Peterborough United,Bristol Rovers,2:2,2,2,2,unknown,,,[],[]
27,26/08/2000,Cambridge United,Bristol City,1:0,3,1,0,unknown,,,[],[]
28,26/08/2000,Luton Town,AFC Bournemouth,1:0,3,1,0,unknown,,,[],[]
29,26/08/2000,Millwall FC,Wycombe Wanderers,1:2,3,1,2,unknown,,,[],[]
30,26/08/2000,Northampton Town,Reading FC,2:0,3,2,0,unknown,,,[],[]
31,26/08/2000,Oldham Athletic,Peterborough United,1:4,3,1,4,unknown,,,[],[]
32,26/08/2000,Oxford United,Brentford FC,0:1,3,0,1,unknown,,,[],[]
33,26/08/2000,Rotherham United,Bury FC,1:2,3,1,2,unknown,,,[],[]
34,26/08/2000,Stoke City,Notts County,0:1,3,0,1,unknown,,,[],[]
35,26/08/2000,Swansea City,Colchester United,0:2,3,0,2,unknown,,,[],[]
36,26/08/2000,Swindon Town,Walsall FC,1:4,3,1,4,unknown,,,[],[]
37,26/08/2000,Wrexham AFC,Wigan Athletic,1:3,3,1,3,unknown,,,[],[]
38,30/04/2001,Bristol Rovers,Port Vale FC,0:3,3,0,3,unknown,,,[],[]
40,28/08/2000,Brentford FC,Bristol Rovers,2:6,4,2,6,unknown,,,[],[]
41,28/08/2000,Bristol City,Rotherham United,0:1,4,0,1,unknown,,,[],[]
42,28/08/2000,Bury FC,Northampton Town,1:0,4,1,0,unknown,,,[],[]
43,28/08/2000,Notts County,Cambridge United,0:1,4,0,1,unknown,,,[],[]
44,28/08/2000,Peterborough United,Swansea City,0:2,4,0,2,unknown,,,[],[]
45,28/08/2000,Port Vale FC,Swindon Town,3:0,4,3,0,unknown,,,[],[]
46,28/08/2000,Wycombe Wanderers,Luton Town,1:1,4,1,1,unknown,,,[],[]
47,29/08/2000,Colchester United,Oldham Athletic,1:1,4,1,1,unknown,,,[],[]
48,29/08/2000,Reading FC,Stoke City,3:3,4,3,3,unknown,,,[],[]
49,29/08/2000,Walsall FC,Oxford United,3:2,4,3,2,unknown,,,[],[]
50,26/09/2000,AFC Bournemouth,Wrexham AFC,1:2,4,1,2,unknown,,,[],[]
51,07/11/2000,Wigan Athletic,Millwall FC,1:0,4,1,0,unknown,,,[],[]
53,02/09/2000,Brentford FC,Wycombe Wanderers,0:0,5,0,0,unknown,,,[],[]
54,02/09/2000,Colchester United,AFC Bournemouth,3:1,5,3,1,unknown,,,[],[]
55,02/09/2000,Oldham Athletic,Notts County,0:1,5,0,1,unknown,,,[],[]
56,02/09/2000,Oxford United,Cambridge United,1:1,5,1,1,unknown,,,[],[]
57,02/09/2000,Peterborough United,Bury FC,1:1,5,1,1,unknown,,,[],[]
58,02/09/2000,Port Vale FC,Reading FC,0:1,5,0,1,unknown,,,[],[]
59,02/09/2000,Rotherham United,Luton Town,1:1,5,1,1,unknown,,,[],[]
60,02/09/2000,Walsall FC,Wigan Athletic,2:0,5,2,0,unknown,,,[],[]
61,31/10/2000,Swansea City,Bristol City,2:2,5,2,2,unknown,,,[],[]
62,07/11/2000,Northampton Town,Stoke City,2:2,5,2,2,unknown,,,[],[]
63,07/11/2000,Swindon Town,Wrexham AFC,2:2,5,2,2,unknown,,,[],[]
64,22/11/2000,Bristol Rovers,Millwall FC,1:2,5,1,2,unknown,,,[],[]
66,08/09/2000,Wycombe Wanderers,Oxford United,3:1,6,3,1,unknown,,,[],[]
67,09/09/2000,AFC Bournemouth,Port Vale FC,1:1,6,1,1,unknown,,,[],[]
68,09/09/2000,Bristol City,Swindon Town,0:1,6,0,1,unknown,,,[],[]
69,09/09/2000,Bury FC,Walsall FC,2:0,6,2,0,unknown,,,[],[]
70,09/09/2000,Cambridge United,Rotherham United,6:1,6,6,1,unknown,,,[],[]
71,09/09/2000,Luton Town,Northampton Town,0:2,6,0,2,unknown,,,[],[]
72,09/09/2000,Millwall FC,Swansea City,1:0,6,1,0,unknown,,,[],[]
73,09/09/2000,Notts County,Bristol Rovers,1:1,6,1,1,unknown,,,[],[]
74,09/09/2000,Reading FC,Brentford FC,4:0,6,4,0,unknown,,,[],[]
75,09/09/2000,Stoke City,Peterborough United,3:0,6,3,0,unknown,,,[],[]
76,09/09/2000,Wigan Athletic,Colchester United,3:1,6,3,1,unknown,,,[],[]
77,09/09/2000,Wrexham AFC,Oldham Athletic,3:1,6,3,1,unknown,,,[],[]
79,12/09/2000,AFC Bournemouth,Swindon Town,3:0,7,3,0,unknown,,,[],[]
80,12/09/2000,Bury FC,Colchester United,0:0,7,0,0,unknown,,,[],[]
81,12/09/2000,Cambridge United,Port Vale FC,4:0,7,4,0,unknown,,,[],[]
82,12/09/2000,Luton Town,Walsall FC,0:0,7,0,0,unknown,,,[],[]
83,12/09/2000,Millwall FC,Northampton Town,0:1,7,0,1,unknown,,,[],[]
84,12/09/2000,Notts County,Swansea City,0:1,7,0,1,unknown,,,[],[]
85,12/09/2000,Reading FC,Oldham Athletic,5:0,7,5,0,unknown,,,[],[]
86,12/09/2000,Wigan Athletic,Peterborough United,1:0,7,1,0,unknown,,,[],[]
87,12/09/2000,Wrexham AFC,Rotherham United,1:3,7,1,3,unknown,,,[],[]
88,12/09/2000,Wycombe Wanderers,Bristol Rovers,0:1,7,0,1,unknown,,,[],[]
89,13/09/2000,Stoke City,Oxford United,4:0,7,4,0,unknown,,,[],[]
90,12/12/2000,Bristol City,Brentford FC,1:2,7,1,2,unknown,,,[],[]
92,16/09/2000,Brentford FC,Millwall FC,1:1,8,1,1,unknown,,,[],[]
93,16/09/2000,Bristol Rovers,Wigan Athletic,0:0,8,0,0,unknown,,,[],[]
94,16/09/2000,Colchester United,Wrexham AFC,1:1,8,1,1,unknown,,,[],[]
95,16/09/2000,Northampton Town,Notts County,1:0,8,1,0,unknown,,,[],[]
96,16/09/2000,Oldham Athletic,Bristol City,0:0,8,0,0,unknown,,,[],[]
97,16/09/2000,Oxford United,Bury FC,1:0,8,1,0,unknown,,,[],[]
98,16/09/2000,Peterborough United,Reading FC,1:0,8,1,0,unknown,,,[],[]
99,16/09/2000,Rotherham United,Wycombe Wanderers,1:0,8,1,0,unknown,,,[],[]
100,16/09/2000,Swansea City,Luton Town,4:0,8,4,0,unknown,,,[],[]
101,16/09/2000,Walsall FC,AFC Bournemouth,1:1,8,1,1,unknown,,,[],[]
102,17/09/2000,Port Vale FC,Stoke City,1:1,8,1,1,unknown,,,[],[]
103,31/10/2000,Swindon Town,Cambridge United,3:1,8,3,1,unknown,,,[],[]
105,23/09/2000,AFC Bournemouth,Oldham Athletic,1:1,9,1,1,unknown,,,[],[]
106,23/09/2000,Bristol City,Colchester United,1:1,9,1,1,unknown,,,[],[]
107,23/09/2000,Bury FC,Port Vale FC,2:0,9,2,0,unknown,,,[],[]
108,23/09/2000,Cambridge United,Bristol Rovers,0:3,9,0,3,unknown,,,[],[]
