	index	date	home	away	score	round_text	play_round	score_45	score_90	score_105	score_120	aet	pso	home_goals	away_goals	season	url	home_manager	away_manager	home_sheet	away_sheet
0	1	27/06/2017	FC Alashkert	FC Santa Coloma	1:0	1. Round	1.0	1:0				False	False	1	0	-2017-2018/	http://www.worldfootball.net/report/champions-league-qual-2017-2018-1-runde-fc-alashkert-fc-santa-coloma/	Abraham Khashmanyan	Richard Imbern\xf3n	[Arsen Beglaryan, Andranik Voskanyan, Danijel Stojkovic, Gagik Dagbashyan, Artak Yedigaryan, Vahagn Minasyan, Artur Yedigaryan, Ararat Arakelyan, Khoren Veranyan, Artak Dashyan, Uro u Nenadovi u]	[Casals, Andreu Ramos, Ildefons Lima, Capdevila, Robert Ramos, Marc Reb xe s, Chus Sosa, Pedro Santos, Noguerol, Juanfer, Quique Cubas]
1	2	27/06/2017	V\xedkingur	KF Trep\xe7a'89	2:1	1. Round	1.0	1:1				False	False	2	1	-2017-2018/	http://www.worldfootball.net/report/champions-league-qual-2017-2018-1-runde-vikingur-kf-trepca89/	S\xe1mal Hentze	Zekirija Ramadani	[Elias Rasmussen, Hanus Jacobsen, Atli Gregersen, Erling Jacobsen, Gert Aage Hansen, Gunnar Vatnhamar, Fr xf xf i Benjaminsen, S xf lvi Vatnhamar, Filip u or u evi u, Sorin Anghel, Adeshina Lawal]	[Enes Manxholli, Lapidar Lladrovci, Arb xebr Potoku, Perparim Islami, Ilir Izmaku, Florent Hasani, Shpetim Idrizi, Argjend Mustafa, Ron Broja, Fiton Hajdari, John Oto]
2	3	27/06/2017	Hibernians FC	FC Infonet	2:0	1. Round	1.0	0:0				False	False	2	0	-2017-2018/	http://www.worldfootball.net/report/champions-league-qual-2017-2018-1-runde-hibernians-fc-fc-infonet/	Mark Miller	Aleksander Pu\u0161tov	[, Andrew Hogg, Rui, Andrei Agius, Jackson, Rodolfo Soares, Bjorn Kristensen, Johan Bezzina, Marco Sahanek, Marcelo Dias, Clayton Failla]	[Andrew Hogg, Rui, Andrei Agius, Jackson, Rodolfo Soares, Bjorn Kristensen, Johan Bezzina, Marco Sahanek, Marcelo Dias, Clayton Failla, Jorghino]
3	4	27/06/2017	The New Saints	Europa FC	1:2	1. Round	1.0	1:1				False	False	1	2	-2017-2018/	http://www.worldfootball.net/report/champions-league-qual-2017-2018-1-runde-the-new-saints-europa-fc/	Scott Ruscoe	Juan Gallardo Fern\xe1ndez	[Paul Harrison, Simon Spender, Steven Saunders, Connell Rawlinson, Jon Routledge, Ryan Brobbel, Jamie Mullan, Adrian Cie u blewicz, Aeron Edwards, Scott Quigley, Ryan Pryce]	[Javi Mu xf oz, Toni, Toscano, Alberto Merino, Iv xe n Moya, xc lex Quillo, Liam Walker, Guille Rold xe n, Mustapha Yahaya, Mart xedn Belfortti, Kike Gomez]
4	5	28/06/2017	Linfield FC	SP La Fiorita	1:0	1. Round	1.0	0:0				False	False	1	0	-2017-2018/	http://www.worldfootball.net/report/champions-league-qual-2017-2018-1-runde-linfield-fc-sp-la-fiorita/	David Healy	Nicola Berardi	[, Roy Carroll, Mark Stafford, Mark Haughey, Aaron Burns, Matthew Clarke, Chris Casement, Niall Quinn, Stephen Lowry, Jamie Mulgrew, Andrew Waterworth]	[Roy Carroll, Mark Stafford, Mark Haughey, Aaron Burns, Matthew Clarke, Chris Casement, Niall Quinn, Stephen Lowry, Jamie Mulgrew, Andrew Waterworth, Paul Smyth]
5	6	04/07/2017	KF Trep\xe7a'89	V\xedkingur	1:4	1. Round	1.0	0:2				False	False	1	4	-2017-2018/	http://www.worldfootball.net/report/champions-league-qual-2017-2018-1-runde-kf-trepca89-vikingur/	Zekirija Ramadani	S\xe1mal Hentze	[Enes Manxholli, Arb xebr Potoku, Perparim Islami, Ilir Izmaku, Florent Hasani, Ylber Maloku, Argjend Mustafa, Ron Broja, Kushtrim Lushtaku, Fiton Hajdari, Blerand Kurtishaj]	[Elias Rasmussen, Hanus Jacobsen, Atli Gregersen, Erling Jacobsen, Hans Djurhuus, Gert Aage Hansen, Gunnar Vatnhamar, S xf lvi Vatnhamar, Filip u or u evi u, Sorin Anghel, Adeshina Lawal]
6	7	04/07/2017	FC Infonet	Hibernians FC	0:1	1. Round	1.0	0:0				False	False	0	1	-2017-2018/	http://www.worldfootball.net/report/champions-league-qual-2017-2018-1-runde-fc-infonet-hibernians-fc/	Sergei Bragin	Mark Miller	[Matvei Igonen, Andrei Kalimullin, Vladimir Avilov, Aleksandr Kulinit u, Dmitri Kruglov, Evgeny Kharin, Kirill Nesterov, Pavel D xf mov, Sergei Tumasyan, Aleksandr Dmitrijev, Albert Prosa]	[Andrew Hogg, Martin Kreuzriegler, Rui, Jackson, Rodolfo Soares, Bjorn Kristensen, Johan Bezzina, Marco Sahanek, Marcelo Dias, Clayton Failla, Jorghino]
7	8	04/07/2017	Europa FC	The New Saints	1:3	1. Round	1.0	0:2	1:2			True	False	1	3	-2017-2018/	http://www.worldfootball.net/report/champions-league-qual-2017-2018-1-runde-europa-fc-the-new-saints/	Juan Gallardo Fern\xe1ndez	Scott Ruscoe	[Javi Mu xf oz, Toscano, Alberto Merino, Rahim Ayew, Iv xe n Moya, xc lex Quillo, Liam Walker, Guille Rold xe n, Mustapha Yahaya, Mart xedn Belfortti, Kike Gomez]	[Paul Harrison, Simon Spender, Steven Saunders, Connell Rawlinson, Jon Routledge, Ryan Brobbel, Jamie Mullan, Aeron Edwards, Wes Fletcher, Scott Quigley, Ryan Pryce]
8	9	04/07/2017	FC Santa Coloma	FC Alashkert	1:1	1. Round	1.0	0:1				False	False	1	1	-2017-2018/	http://www.worldfootball.net/report/champions-league-qual-2017-2018-1-runde-fc-santa-coloma-fc-alashkert/	Richard Imbern\xf3n	Abraham Khashmanyan	[Casals, Andreu Ramos, Ildefons Lima, Capdevila, Robert Ramos, Marc Reb xe s, Chus Sosa, J xe r xe my Lempereur, Jos xe Gal xe n, Noguerol, Quique Cubas]	[Arsen Beglaryan, Dmitro Khovbosha, Andranik Voskanyan, Danijel Stojkovic, Gagik Dagbashyan, Artak Yedigaryan, Ararat Arakelyan, Khoren Veranyan, Mihran Manasyan, Artak Dashyan, Uro u Nenadovi u]
9	10	04/07/2017	SP La Fiorita	Linfield FC	0:0	1. Round	1.0	0:0				False	False	0	0	-2017-2018/	http://www.worldfootball.net/report/champions-league-qual-2017-2018-1-runde-sp-la-fiorita-linfield-fc/	Nicola Berardi	David Healy	[Gianluca Vivan, Andrea Martini, Roberto Di Maio, Samuele Olivi, Marco Gasperoni, Tommaso Zafferani, Marco Brighi, Crocefisso Miglietta, Damiano Tommasi, Danilo Rinaldi, Emiliano Olcese]	[Roy Carroll, Mark Stafford, Cameron Stewart, Mark Haughey, Matthew Clarke, Chris Casement, Niall Quinn, Stephen Lowry, Jamie Mulgrew, Andrew Waterworth, Paul Smyth]
