	date	home	away	score	play_round	home_goals	away_goals	url	home_manager	away_manager	home_sheet	away_sheet
0	11/08/2017	 ADO Den Haag 	 FC Utrecht 	 0:3	1	0	3	http://www.worldfootball.net/report/eredivisie-2017-2018-ado-den-haag-fc-utrecht/	Alfons Groenendijk	Erik ten Hag	[Robert Zwinkels, Tyronne Ebuehi, Tom Beugelsdijk, Aaron Meijers, Bas Kuipers, Donny Gorter, Lex Immers, Danny Bakker, Sheraldo Becker, Bj xf rn Johnsen, xc douard Duplan]	[David Jensen, Ramon Leeuwin, Willem Janssen, Sean Klaiber, Edson Braafheid, Yassin Ayoub, Sander van de Streek, Anouar Kali, Gyrano Kerk, Zakaria Labyad, Cyriel Dessers]
1	12/08/2017	 VVV-Venlo 	 Sparta Rotterdam 	 3:0	1	3	0	http://www.worldfootball.net/report/eredivisie-2017-2018-vvv-venlo-sparta-rotterdam/	Maurice Steijn	Alex Pastoor	[Lars Unnerstall, Jerold Promes, Roel Janssen, Nils R xf seler, Tristan Dekker, Moreno Rutten, Clint Leemans, Ralf Seuntjens, Vito van Crooy, Lennart Thy, Tarik Tissoudali]	[Roy Kortsmit, Sherel Floranus, Julian Chabot, Michel Breuer, Stijn Spierings, George Dobson, Ryan Sanusi, Kenneth Dougall, Ilias Alhaft, Craig Goodwin, Dalibor Vola u]
2	12/08/2017	 PSV Eindhoven 	 AZ Alkmaar 	 3:2	1	3	2	http://www.worldfootball.net/report/eredivisie-2017-2018-psv-eindhoven-az-alkmaar/	Phillip Cocu	John van den Brom	[Jeroen Zoet, Nicolas Isimat Mirin, Santiago Arias, Daniel Schwaab, Joshua Brenet, Gast xf n Pereiro, Jorrit Hendrix, Marco van Ginkel, Hirving Lozano, Steven Bergwijn, J xfcrgen Locadia]	[Marco Bizot, Jonas Svensson, Ron Vlaar, Thomas Ouwejan, Stijn Wuytens, Joris van Overeem, Marko Vejinovi u, Guus Til, Alireza Jahanbakhsh, Wout Weghorst, Calvin Stengs]
3	12/08/2017	 Heracles Almelo 	 AFC Ajax 	 2:1	1	2	1	http://www.worldfootball.net/report/eredivisie-2017-2018-heracles-almelo-afc-ajax/	John Stegeman	Marcel Keizer	[Bram Castro, Tim Breukers, Robin Pr xf pper, Bart van Hintum, Jeff Hardeveld, Joey Pelupessy, Peter van Ooijen, Reuven Niemeijer, Brahim Darri, Paul Gladon, Brandley Kuwas]	[Andr xe Onana, Jo xebl Veltman, Matthijs de Ligt, Nick Viergever, Mitchell Dijks, Donny van de Beek, Hakim Ziyech, Lasse Sch xf ne, Amin Younes, Kasper Dolberg, Justin Kluivert]
4	12/08/2017	 Vitesse 	 NAC Breda 	 4:1	1	4	1	http://www.worldfootball.net/report/eredivisie-2017-2018-vitesse-nac-breda/	Henk Fraser	Stijn Vreven	[Remko Pasveer, Fankaty Dabo, Arnold Kruiswijk, Alexander B xfcttner, Guram Kashia, Thomas Bruns, Thulani Serero, Navarone Foor, Milot Rashica, Tim Matav u e, Bryan Linssen]	[Andries Noppert, Menno Koch, Pablo Mar xed, James Horsfield, Jos xe Angeli xf o, Arno Verschueren, Mounir el Allouchi, Rai Vloet, Manu Garc xeda, Giovanni Korte, Thierry Ambrose]
5	13/08/2017	 PEC Zwolle 	 Roda JC Kerkrade 	 4:2	1	4	2	http://www.worldfootball.net/report/eredivisie-2017-2018-pec-zwolle-roda-jc-kerkrade/	John van 't Schip	Robert Molenaar	[Diederik Boer, Bram van Polen, Dirk Marcellis, Philippe Sandler, Kingsley Ehizibue, Mustafa Saymak, Erik Bakker, Ryan Thomas, Youness Mokhtar, Piotr Parzyszek, Younes Namli]	[Hidde Jurjus, Frederic Ananou, Chris Kum, Ard van Peppen, Daryl Werker, Mohamed el Makrini, Simon Gustafson, Ognjen Gnjati u, Mitchel Paulissen, Mikhail Rosheuvel, Jorn Vancamp]
6	13/08/2017	 Feyenoord 	 FC Twente 	 2:1	1	2	1	http://www.worldfootball.net/report/eredivisie-2017-2018-feyenoord-fc-twente/	Giovanni van Bronckhorst	Ren\xe9 Hake	[Justin Bijlow, Ridgeciano Haps, Jan Arie van der Heijden, Kevin Diks, Eric Botteghin, Karim El Ahmadi, Tonny Vilhena, Jens Toornstra, Jean Paul Bo xebtius, Nicolai J xf rgensen, Steven Berghuis]	[Jorn Brondeel, Hidde ter Avest, Joachim Andersen, Stefan Thesker, Dejan Trajkovski, Fredrik Jensen, Danny Holla, Jelle van der Heyden, Nikola Gjorgjev, Marko Kvasina, Dylan George]
7	13/08/2017	 Willem II 	 SBV Excelsior 	 1:2	1	1	2	http://www.worldfootball.net/report/eredivisie-2017-2018-willem-ii-sbv-excelsior/	Erwin van de Looi	Mitchell van der Gaag	[Timon Wellenreuther, Fernando Lewis, Freek Heerkens, Jordens Peters, Kostas Tsimikas, Darryl Lachman, Pedro Chirivella, Dan Crowley, Karim Coulibaly, Fran Sol, Ismail Azzaoui]	[Alessandro Damen, Wout Faes, Milan Massop, Jurgen Mattheij, Jeffry Fortes, Hicham Faik, Ryan Koolwijk, Kevin Vermeulen, Luigi Bruins, Stanley Elbers, Zakaria el Azzouzi]
8	13/08/2017	 FC Groningen 	 sc Heerenveen 	 3:3	1	3	3	http://www.worldfootball.net/report/eredivisie-2017-2018-fc-groningen-sc-heerenveen/	Ernest Faber	Jurgen Streppel	[Sergio Padt, Kasper Larsen, Mike te Wierik, Eti xebnne Reijnen, Django Warmerdam, Juninho Bacuna, Ruben Jenssen, Jesper Drost, Ritsu Doan, Lars Veldwijk, Mimoun Mahi]	[Warner Hahn, Denzel Dumfries, Daniel H xf egh, Joost van Aken, Lucas Woudenberg, Stijn Schaars, Morten Thorsby, Martin xd degaard, Yuki Kobayashi, Reza Ghoochannejhad, Arber Zeneli]
9	18/08/2017	 Roda JC Kerkrade 	 Vitesse 	 1:3	2	1	3	http://www.worldfootball.net/report/eredivisie-2017-2018-roda-jc-kerkrade-vitesse/	Robert Molenaar	Henk Fraser	[, Hidde Jurjus, Frederic Ananou, Chris Kum, Ard van Peppen, Daryl Werker, Mohamed el Makrini, Simon Gustafson, Ognjen Gnjati u, Mitchel Paulissen, Mikhail Rosheuvel]	[Hidde Jurjus, Frederic Ananou, Chris Kum, Ard van Peppen, Daryl Werker, Mohamed el Makrini, Simon Gustafson, Ognjen Gnjati u, Mitchel Paulissen, Mikhail Rosheuvel, Jorn Vancamp]
